Date,Open,High,Low,Close,VIX Open,VIX High,VIX Low,VIX Close,Target
2020-11-30,87.33000200000001,92.739998,86.529999,92.660004,22.64,22.89,20.48,20.57,92.629997
2020-12-01,92.25,93.900002,90.779999,92.629997,20.21,20.92,20.0,20.77,93.739998
2020-12-02,92.889999,96.370003,92.529999,93.739998,21.0,21.25,20.04,21.17,92.309998
2020-12-03,94.059998,94.699997,92.010002,92.309998,21.24,21.88,20.72,21.28,94.040001
2020-12-04,92.58000200000001,94.58000200000001,90.629997,94.040001,21.05,21.15,19.97,20.79,94.07
2020-12-07,94.949997,95.0,92.970001,94.07,22.04,22.62,21.17,21.3,92.91999799999999
2020-12-08,94.050003,94.739998,91.900002,92.91999799999999,21.65,22.25,20.52,20.68,89.83000200000001
2020-12-09,92.760002,94.699997,89.160004,89.83000200000001,20.66,22.93,20.1,22.27,91.660004
2020-12-10,89.550003,92.089996,89.029999,91.660004,22.12,23.46,21.53,22.52,91.650002
2020-12-11,91.540001,92.33000200000001,90.160004,91.650002,22.49,25.14,22.48,23.31,94.779999
2020-12-14,92.209999,95.410004,91.849998,94.779999,22.67,24.82,21.95,24.72,97.120003
2020-12-15,95.93,97.980003,95.449997,97.120003,24.0,24.07,22.73,22.89,96.849998
2020-12-16,97.040001,97.269997,95.459999,96.849998,22.51,23.67,22.29,22.5,96.839996
2020-12-17,97.550003,97.91999799999999,96.25,96.839996,21.98,22.27,21.52,21.93,95.91999799999999
2020-12-18,97.269997,97.68,93.559998,95.91999799999999,22.15,23.77,21.57,21.57,93.230003
2020-12-21,94.25,95.279999,91.08000200000001,93.230003,24.25,31.46,24.23,25.16,93.160004
2020-12-22,93.360001,93.550003,90.529999,93.160004,25.24,25.56,23.53,24.23,91.550003
2020-12-23,93.08000200000001,93.129997,91.459999,91.550003,23.49,23.68,22.13,23.31,91.809998
2020-12-24,91.800003,92.510002,91.309998,91.809998,22.47,22.83,21.39,21.53,91.599998
2020-12-28,92.93,93.139999,90.82,91.599998,22.11,22.12,21.15,21.7,90.620003
2020-12-29,91.660004,92.459999,89.43,90.620003,21.61,23.72,20.99,23.08,92.290001
2020-12-30,90.779999,92.849998,90.190002,92.290001,22.58,23.15,22.41,22.77,91.709999
2020-12-31,92.099998,92.300003,90.870003,91.709999,22.99,23.25,21.24,22.75,92.300003
2021-01-04,92.110001,96.059998,90.91999799999999,92.300003,23.04,29.19,22.56,26.97,92.769997
2021-01-05,92.099998,93.209999,91.410004,92.769997,26.94,28.6,24.8,25.34,90.33000200000001
2021-01-06,91.620003,92.279999,89.459999,90.33000200000001,25.48,26.77,22.14,25.07,95.160004
2021-01-07,91.33000200000001,95.510002,91.199997,95.160004,23.67,23.91,22.25,22.37,94.58000200000001
2021-01-08,95.980003,96.400002,93.269997,94.58000200000001,22.43,23.34,21.42,21.56,97.25
2021-01-11,94.029999,99.230003,93.760002,97.25,23.31,24.81,23.23,24.08,95.360001
2021-01-12,97.860001,98.970001,94.07,95.360001,23.49,25.15,22.83,23.33,91.779999
2021-01-13,93.010002,93.889999,90.839996,91.779999,23.07,24.18,21.92,22.21,90.790001
