numeroRegla,media0,media1,media2,media3,media4,media5,media6,media7,desviacion_estandar0,desviacion_estandar1,desviacion_estandar2,desviacion_estandar3,desviacion_estandar4,desviacion_estandar5,desviacion_estandar6,desviacion_estandar7,pesos0,pesos1,pesos2,pesos3,pesos4,pesos5,pesos6,pesos7,pesos8
0,90.9951,95.2353,92.9517,92.8848,23.3947,23.3709,20.4419,26.4038,5.5593,4.0535,4.52029,4.42042,2.67744,6.16615,2.60793,2.33019,-0.0972347,0.0907096,0.46045,0.404849,0.0883555,-0.201367,0.614613,0.274406,0.126773
1,97.2246,96.2797,92.9517,90.6115,25.9297,28.5462,20.4419,26.4038,4.87681,2.35986,4.52029,4.42042,2.16377,5.90363,2.60793,3.82988,-0.0972347,0.0907096,0.211173,0.380027,0.54531,0.625136,-0.347935,0.274406,-0.984569
2,96.0735,96.8796,93.2611,95.2249,25.9824,28.5462,20.4419,23.2645,3.60444,2.35986,4.52029,4.42042,3.09986,5.24551,2.60793,2.62312,-0.0972347,-0.687406,0.142151,0.547316,0.220058,0.531622,0.0178851,0.277822,0.126773
3,96.6934,95.2353,92.9517,90.6115,23.0121,23.3709,20.4419,24.2867,3.60444,2.35986,4.52029,2.87079,2.16377,5.24551,2.60793,2.31968,-0.0972347,0.0907096,0.142151,0.404849,0.0883555,0.531622,0.0178851,-0.241614,-0.849082
4,96.0735,95.2353,92.9517,90.6115,23.0121,23.3709,23.1203,24.2867,5.5593,3.91811,4.52029,4.42042,2.16377,4.42584,2.60793,2.31968,0.499938,0.0907096,0.46045,0.404849,0.0883555,0.531622,0.0178851,0.274406,-0.849082
5,96.0735,95.2353,92.9517,92.8848,23.0121,30.1361,20.4419,22.2405,5.5593,2.36906,4.52029,4.42042,3.13206,6.16615,2.60793,2.02125,0.433631,-0.0997752,0.46045,0.404849,0.220058,0.531622,0.0178851,0.277822,0.126773
6,96.0735,95.2353,91.2354,95.2249,26.8764,28.5462,20.4419,26.4038,5.40426,2.35986,4.52029,2.98719,2.67744,4.42584,2.00079,3.15926,-0.73486,-0.0997752,0.211173,0.374785,0.164411,0.625136,0.0178851,0.274406,0.479662
7,96.6934,95.2353,92.9517,90.6115,23.0121,23.3709,23.1203,24.2867,3.60444,2.35986,4.52029,4.42042,2.16377,5.24551,2.60793,2.31968,-0.0972347,0.0907096,0.46045,0.404849,0.0883555,0.531622,0.0178851,0.277822,-0.849082
8,96.0735,95.2353,92.9517,90.6115,23.0121,23.3709,20.4419,23.2645,6.02094,3.69018,4.52029,4.42042,2.16377,4.42584,2.60793,3.82988,0.499938,0.0907096,0.46045,0.404849,0.0883555,0.531622,0.0178851,0.277822,-0.34862
9,90.9951,95.2353,92.9517,95.2249,23.3947,30.1361,23.1203,23.2645,5.54635,3.11186,4.10163,4.42042,3.13206,4.42584,2.60793,2.14166,0.499938,-0.0997752,0.211173,0.509433,0.220058,0.531622,-0.340313,0.24716,0.372429
10,96.0735,95.2353,93.2611,95.2249,22.2811,30.1361,24.6795,23.2645,3.7394,2.36906,5.09535,2.98719,2.67744,4.42584,2.00079,3.55008,0.499938,-0.0997752,0.46045,0.374785,0.149933,-0.201367,0.0178851,-0.241614,0.479662
11,90.9951,95.2353,92.9517,92.8848,23.3947,28.5462,22.828,24.2867,6.02094,2.91661,4.52029,4.42042,2.16377,4.19233,2.60793,3.82988,-0.0972347,0.0907096,0.46045,0.404849,0.164411,-0.218229,0.0178851,0.274406,0.126773
12,97.2246,95.2353,92.9517,92.8848,23.3947,28.5462,20.4419,23.2645,3.60444,3.56305,4.10163,2.98719,2.16377,4.19233,2.60793,2.65757,-0.0972347,0.0907096,0.46045,0.404849,0.0883555,0.531622,0.0178851,0.277822,0.126773
13,90.9951,95.2353,92.9517,92.8848,23.3947,23.3709,20.4419,26.4038,4.87681,2.35986,4.52029,4.42042,2.67744,6.16615,2.60793,2.33019,0.499938,0.0907096,0.46045,0.404849,0.164411,-0.201367,0.614613,0.274406,-0.849082
14,97.1531,95.2353,94.6613,92.8848,23.3947,28.5462,20.4419,24.2867,6.02094,3.56305,4.52029,4.42042,2.16377,4.19233,2.60793,3.82988,-0.0972347,0.0907096,0.46045,0.404849,0.0883555,0.531622,0.0178851,-0.770716,0.126773
15,90.9951,95.2353,92.9517,92.8848,23.0121,30.1361,20.4419,22.2405,5.5593,3.91811,4.52029,4.42042,2.67744,6.16615,2.60793,2.02125,0.433631,0.0907096,0.46045,0.404849,0.0883555,-0.201367,0.0178851,-0.241614,0.126773
16,88.9527,95.2353,92.9517,95.2117,25.9297,28.5462,23.1203,24.2867,3.7394,2.35986,4.64099,4.42042,2.16377,4.42584,2.60793,2.65757,0.499938,0.0907096,0.211173,0.404849,0.164411,0.531622,0.0178851,-0.770716,0.126773
17,90.9951,95.2353,92.9517,96.2609,23.0121,30.1361,23.2041,26.4038,5.54635,2.35986,4.10163,4.42042,3.46337,4.42584,2.00079,2.65757,-0.0972347,0.0907096,0.142151,0.404849,0.0883555,0.531622,0.0178851,0.274406,-0.707536
18,97.2246,95.2353,92.9517,93.7214,23.3947,28.5462,24.5894,26.4038,5.2349,3.91811,4.52029,2.98719,2.16377,6.16615,2.60793,2.85522,-0.0972347,0.0907096,0.211173,0.404849,0.164411,-0.201367,0.0178851,0.274406,0.126773
19,96.0916,95.2353,92.9517,95.2249,23.3947,30.1361,23.1203,23.2645,4.87681,3.11186,4.52029,4.42042,3.13206,4.42584,2.60793,2.14166,0.499938,-0.0997752,0.211173,0.404849,0.220058,0.531622,-0.340313,0.274406,0.372429
