Date,Open,High,Low,Close,VIX Open,VIX High,VIX Low,VIX Close,Target
2019-08-02,1845.069946,1846.359985,1808.02002,1823.2399899999998,17.69,20.11,17.04,17.61,1765.130005
2019-08-05,1770.219971,1788.6700440000002,1748.780029,1765.130005,19.96,24.81,19.91,24.59,1787.8299559999998
2019-08-06,1792.22998,1793.77002,1753.4000239999998,1787.8299559999998,22.29,22.87,19.77,20.17,1793.4000239999998
2019-08-07,1773.9899899999998,1798.930054,1757.0,1793.4000239999998,20.7,23.67,18.94,19.49,1832.890015
2019-08-08,1806.0,1834.2600100000002,1798.109985,1832.890015,19.36,19.89,16.82,16.91,1807.5799559999998
2019-08-09,1828.949951,1831.089966,1802.219971,1807.5799559999998,18.14,19.44,17.31,17.97,1784.9200440000002
2019-08-12,1795.9899899999998,1800.97998,1777.0,1784.9200440000002,17.87,21.26,17.77,21.09,1824.339966
2019-08-13,1783.0,1831.7399899999998,1780.0,1824.339966,21.28,21.64,17.52,17.52,1762.959961
2019-08-14,1793.0100100000002,1795.6500239999998,1757.219971,1762.959961,17.81,22.71,17.75,22.1,1776.119995
2019-08-15,1781.9899899999998,1788.0,1761.959961,1776.119995,21.58,24.1,20.78,21.18,1792.569946
2019-08-16,1792.890015,1802.910034,1784.550049,1792.569946,20.48,20.5,18.41,18.47,1816.119995
2019-08-19,1818.0799559999998,1826.0,1812.609985,1816.119995,17.93,18.22,16.52,16.88,1801.380005
2019-08-20,1814.5,1816.819946,1799.880005,1801.380005,16.78,17.7,16.45,17.5,1823.540039
2019-08-21,1819.390015,1829.5799559999998,1815.0,1823.540039,17.01,17.04,15.51,15.8,1804.660034
2019-08-22,1828.0,1829.410034,1800.0999760000002,1804.660034,16.12,17.68,15.63,16.68,1749.619995
2019-08-23,1793.030029,1804.9000239999998,1745.22998,1749.619995,16.15,21.07,16.04,19.87,1768.869995
2019-08-26,1766.910034,1770.0,1743.5100100000002,1768.869995,20.34,21.33,19.06,19.32,1761.8299559999998
2019-08-27,1775.72998,1779.4000239999998,1746.680054,1761.8299559999998,20.18,21.04,18.49,20.31,1764.25
2019-08-28,1755.0,1767.859985,1744.050049,1764.25,20.55,21.64,19.1,19.35,1786.4000239999998
2019-08-29,1783.0,1798.550049,1777.25,1786.4000239999998,19.02,19.2,17.6,17.88,1776.290039
2019-08-30,1797.4899899999998,1799.7399899999998,1764.569946,1776.290039,17.94,19.18,17.09,18.98,1789.839966
2019-09-03,1770.0,1800.800049,1768.0,1789.839966,20.96,21.15,19.41,19.66,1800.619995
2019-09-04,1805.0,1807.630005,1796.22998,1800.619995,18.23,18.83,17.26,17.33,1840.719971
2019-09-05,1821.949951,1842.0,1815.5799559999998,1840.719971,16.92,17.05,15.45,16.27,1833.5100100000002
2019-09-06,1838.219971,1840.6500239999998,1826.4000239999998,1833.5100100000002,15.92,16.06,14.91,15.0,1831.3499760000002
2019-09-09,1841.0,1850.0,1824.609985,1831.3499760000002,15.26,16.13,14.95,15.27,1820.550049
2019-09-10,1822.75,1825.810059,1805.339966,1820.550049,15.53,16.52,15.11,15.2,1822.9899899999998
2019-09-11,1812.140015,1833.4200440000002,1809.0799559999998,1822.9899899999998,15.33,15.52,14.55,14.61,1843.550049
2019-09-12,1837.630005,1853.660034,1834.280029,1843.550049,14.69,14.94,13.85,14.22,1839.339966
2019-09-13,1842.0100100000002,1846.119995,1835.1700440000002,1839.339966,14.16,14.31,13.51,13.74,1807.839966
2019-09-16,1824.02002,1825.689941,1800.199951,1807.839966,14.89,15.29,14.5,14.67,1822.550049
2019-09-17,1807.0799559999998,1823.9899899999998,1804.0999760000002,1822.550049,14.92,15.03,14.4,14.44,1817.459961
2019-09-18,1817.040039,1822.060059,1795.5,1817.459961,14.61,15.8,13.8,13.95,1821.5
2019-09-19,1821.02002,1832.569946,1817.9000239999998,1821.5,14.66,14.66,13.31,14.05,1794.160034
2019-09-20,1821.709961,1830.630005,1780.9200440000002,1794.160034,13.94,15.84,13.35,15.32,1785.300049
2019-09-23,1777.0,1792.699951,1767.319946,1785.300049,15.35,16.0,14.71,14.91,1741.609985
2019-09-24,1790.609985,1795.709961,1735.550049,1741.609985,14.77,17.62,14.33,17.05,1768.3299559999998
2019-09-25,1747.359985,1773.0,1723.0,1768.3299559999998,17.05,18.45,15.69,15.96,1739.839966
2019-09-26,1762.790039,1763.369995,1731.5,1739.839966,16.23,17.09,15.35,16.07,1725.449951
2019-09-27,1748.0,1749.119995,1713.819946,1725.449951,15.77,18.69,15.15,17.22,1735.910034
2019-09-30,1726.9899899999998,1737.459961,1709.219971,1735.910034,17.23,17.35,16.2,16.24,1735.6500239999998
2019-10-01,1746.0,1755.5999760000002,1728.410034,1735.6500239999998,16.02,18.62,15.79,18.56,1713.22998
2019-10-02,1727.7399899999998,1728.890015,1705.0,1713.22998,18.75,21.46,18.75,20.56,1724.4200440000002
2019-10-03,1713.0,1725.0,1685.060059,1724.4200440000002,20.11,21.44,19.03,19.12,1739.6500239999998
2019-10-04,1726.02002,1740.5799559999998,1719.22998,1739.6500239999998,19.42,19.97,16.97,17.04,1732.660034
2019-10-07,1731.630005,1747.8299559999998,1723.699951,1732.660034,18.27,18.52,16.44,17.86,1705.5100100000002
2019-10-08,1722.4899899999998,1727.0,1705.0,1705.5100100000002,17.61,20.38,17.42,20.28,1721.9899899999998
2019-10-09,1719.609985,1729.949951,1714.359985,1721.9899899999998,19.94,20.0,17.77,18.64,1720.2600100000002
2019-10-10,1725.2399899999998,1738.290039,1713.75,1720.2600100000002,19.28,19.8,17.56,17.57,1731.9200440000002
2019-10-11,1742.9200440000002,1745.449951,1729.859985,1731.9200440000002,17.35,17.44,15.11,15.58,1736.430054
2019-10-14,1728.910034,1741.890015,1722.0,1736.430054,15.66,16.5,14.51,14.57,1767.380005
2019-10-15,1742.140015,1776.449951,1740.619995,1767.380005,13.94,14.43,13.39,13.54,1777.430054
2019-10-16,1773.3299559999998,1786.2399899999998,1770.52002,1777.430054,13.94,14.26,13.6,13.68,1787.47998
2019-10-17,1796.4899899999998,1798.8499760000002,1782.02002,1787.47998,13.79,14.18,13.31,13.79,1757.5100100000002
2019-10-18,1787.800049,1793.97998,1749.199951,1757.5100100000002,14.2,15.16,13.78,14.25,1785.660034
2019-10-21,1769.660034,1785.880005,1765.0,1785.660034,14.24,14.63,14.0,14.0,1765.72998
2019-10-22,1788.1500239999998,1789.780029,1762.0,1765.72998,13.99,14.61,13.7,14.46,1762.1700440000002
2019-10-23,1761.300049,1770.050049,1742.0,1762.1700440000002,14.83,15.12,14.01,14.01,1780.780029
2019-10-24,1771.089966,1788.339966,1760.27002,1780.780029,13.98,14.34,13.4,13.71,1761.3299559999998
2019-10-25,1697.550049,1764.209961,1695.0,1761.3299559999998,13.53,13.79,12.62,12.65,1777.0799559999998
2019-10-28,1748.060059,1778.699951,1742.5,1777.0799559999998,13.01,13.14,12.66,13.11,1762.709961
2019-10-29,1774.810059,1777.0,1755.810059,1762.709961,13.16,13.52,13.07,13.2,1779.9899899999998
