numeroRegla,media0,media1,media2,media3,media4,media5,media6,media7,desviacion_estandar0,desviacion_estandar1,desviacion_estandar2,desviacion_estandar3,desviacion_estandar4,desviacion_estandar5,desviacion_estandar6,desviacion_estandar7,pesos0,pesos1,pesos2,pesos3,pesos4,pesos5,pesos6,pesos7,pesos8
0,3261.55,3331.27,3093.86,3232.95,21.6675,28.7193,20.6565,24.8466,137.601,88.1567,100.689,101.095,3.36615,3.64054,2.80101,3.25561,0.372673,0.496819,0.108774,0.0374524,0.325398,-0.618353,-0.443839,-0.739726,0.0442055
1,3319.89,3138.31,3082.96,3232.95,21.168,22.2979,22.3343,24.8466,84.7963,96.5986,66.3344,84.3205,3.36615,4.59437,2.37318,2.66114,0.560293,0.496819,0.108774,0.0374524,0.325398,0.358429,0.2655,-0.739726,0.0442055
2,3212.34,3331.27,3093.86,3232.95,20.6359,22.2979,20.6565,21.0841,90.8049,96.5986,121.393,89.39,3.86836,3.86492,1.51272,2.12195,-0.0219157,0.247501,0.254284,0.297969,0.0598593,0.922177,-0.742706,0.159985,0.692739
3,3212.34,3331.27,3082.96,3232.95,21.168,22.2979,20.6565,24.8466,84.7963,96.5986,66.3344,74.0165,3.53447,3.86492,1.85887,3.82368,0.372673,0.496819,0.108774,0.0374524,0.325398,0.922177,-0.443839,-0.739726,0.0442055
4,3252.44,3291.37,3093.86,3118.8,21.6675,22.2979,21.8428,21.0883,113.766,88.1567,121.393,99.4637,3.86836,6.26782,1.6501,3.82368,0.756906,0.496819,0.13656,0.297969,0.0598593,0.508193,0.532474,-0.946596,0.692739
5,3261.55,3234.76,3093.86,3232.95,21.6675,30.2262,20.6565,22.4361,137.601,88.1567,91.0509,93.9762,3.53447,3.93707,2.39604,2.12195,0.372673,0.496819,0.108774,0.0374524,0.412589,0.358429,-0.443839,0.189015,0.312789
6,3212.34,3234.76,3136.3,3232.95,25.8426,26.576,20.6565,22.4361,90.8049,96.5986,91.0509,93.9762,3.53447,4.59437,1.85887,3.82368,0.590913,0.57824,0.254284,0.0374524,0.165967,0.358429,-0.820516,0.189015,0.531984
7,3237.82,3138.31,3150.87,3232.95,20.6359,22.2979,20.6565,21.0883,137.601,96.5986,121.393,66.8948,3.86836,4.59437,2.80101,3.82368,0.590913,0.399183,0.13656,0.0374524,0.0598593,0.508193,-0.443839,-0.0262539,-0.607861
8,3319.89,3338.25,3093.86,3232.95,24.0598,22.2979,20.6565,23.8945,84.7963,88.1567,91.0509,101.095,3.36615,3.64054,1.85887,3.82368,-0.0219157,0.00376455,0.344741,0.297969,0.412589,0.922177,0.2655,0.189015,0.0442055
9,3234.47,3338.25,3093.86,3232.95,24.0598,22.2979,20.6565,21.0883,84.7963,96.5986,91.0509,101.095,3.86836,4.37018,1.85887,3.82368,-0.0219157,0.00376455,0.344741,0.297969,0.412589,0.922177,-0.820516,0.189015,0.0442055
10,3319.89,3289.9,3093.86,3232.95,26.1479,22.2979,20.6565,21.0841,84.7963,88.1567,91.0509,84.3205,3.36615,4.59437,1.85887,3.82368,-0.347903,0.496819,0.254284,0.297969,-0.326666,0.922177,0.2655,0.401669,0.0442055
11,3234.47,3338.25,3147.21,3232.95,24.0598,22.2979,20.6565,21.0841,84.7963,96.5986,91.0509,66.8948,3.86836,3.64054,1.85887,2.12195,-0.0219157,0.00376455,0.344741,0.297969,0.412589,0.922177,-0.820516,0.189015,0.692739
12,3212.34,3331.27,3150.87,3232.95,21.6675,22.2979,20.6565,25.2472,137.601,96.5986,121.393,101.095,3.36615,4.59437,1.91612,3.82368,-0.347903,0.496819,0.13656,0.206127,0.0598593,0.358429,-0.443839,0.401669,0.0442055
13,3212.34,3138.31,3147.21,3102.12,21.6675,22.2979,22.3343,23.8945,90.8049,96.5986,71.5282,84.3205,3.36615,4.59437,1.89732,2.12195,0.590913,0.496819,0.254284,0.0374524,0.165967,0.358429,-0.820516,0.189015,0.0442055
14,3212.34,3289.9,3093.86,3232.95,20.6359,22.2979,20.6565,24.8466,90.8049,96.5986,121.393,89.39,3.33895,5.64452,1.51272,2.12195,0.590913,0.0691448,0.662483,0.241534,0.0598593,0.922177,0.2655,-0.511871,0.692739
15,3234.47,3289.9,3093.86,3232.95,24.0598,22.2979,20.6565,21.0883,84.7963,88.1567,91.0509,84.3205,3.86836,4.37018,1.85887,3.82368,0.876707,0.496819,0.344741,0.297969,0.0598593,0.922177,-0.820516,0.189015,0.0442055
16,3212.34,3331.27,3150.87,3232.95,26.1479,22.2979,20.6565,25.2472,123.269,96.5986,91.0509,101.095,3.86836,4.59437,1.91612,2.12195,-0.347903,0.496819,0.254284,0.206127,0.0598593,0.358429,-0.961246,0.189015,0.692739
17,3212.34,3331.27,3093.86,3232.95,21.6675,22.2979,20.6565,21.0841,90.8049,96.5986,121.393,99.4637,3.86836,3.86492,1.6501,2.12195,-0.0219157,0.496819,0.254284,0.297969,0.0598593,0.922177,-0.742706,-0.946596,0.692739
18,3319.89,3138.31,3082.96,3232.95,20.6359,22.2979,21.6795,21.0883,137.601,88.1567,121.393,84.3205,3.80897,4.37018,1.85887,3.82368,0.560293,0.496819,0.13656,0.0374524,0.820539,0.922177,0.532474,0.0756057,0.0442055
19,3212.34,3235.05,3093.86,3232.95,25.8426,22.2979,20.6565,24.8466,90.8049,118.422,121.393,79.1952,3.53447,3.86492,1.85887,3.82368,0.590913,0.122208,0.254284,0.0374524,0.325398,0.922177,-0.443839,-0.739726,0.692739
