numeroRegla,media0,media1,media2,media3,media4,media5,media6,media7,desviacion_estandar0,desviacion_estandar1,desviacion_estandar2,desviacion_estandar3,desviacion_estandar4,desviacion_estandar5,desviacion_estandar6,desviacion_estandar7,pesos0,pesos1,pesos2,pesos3,pesos4,pesos5,pesos6,pesos7,pesos8
0,128.072,125.082,133.225,134.407,23.5912,23.8186,24.3893,25.0651,6.45509,6.13637,8.46954,7.02095,2.50886,3.92458,2.70016,2.97113,-0.217471,0.419664,0.300593,-0.0696228,0.0648597,-0.252545,-0.147655,0.775587,0.570949
1,128.072,134.702,120.271,129.418,25.9146,22.289,21.5677,25.7048,6.45509,7.96543,8.48143,7.02095,2.8518,5.10068,1.94369,2.97113,-0.217471,0.326474,0.300593,-0.00606545,0.0648597,-0.596383,0.763392,0.775587,0.180685
2,128.026,122.498,120.271,129.418,26.4573,30.0298,20.781,20.7852,6.45509,10.1788,8.48143,7.02095,2.8518,5.91606,1.94369,2.97113,0.0197897,0.326474,0.300593,0.123131,0.0648597,-0.252545,0.763392,0.374908,0.180685
3,128.026,134.702,120.271,127.723,23.5912,23.8186,24.3893,25.0651,10.2723,7.96543,8.48143,7.02095,2.50886,3.90423,2.70016,2.97113,-0.217471,0.326474,0.300593,0.123131,0.0590114,-0.252545,0.290838,0.374908,0.570949
4,128.072,134.702,120.271,129.418,26.4573,23.8186,20.781,25.0651,10.2723,10.1788,8.46954,7.02095,2.50886,5.10068,1.94369,2.97113,-0.623888,0.326474,0.300593,0.213428,0.0648597,-0.482688,0.594166,0.775587,0.570949
5,128.072,134.702,120.271,129.418,25.9146,22.1262,21.5677,20.7852,6.45509,10.1788,8.48143,7.02095,2.8518,5.17232,1.94369,2.97113,-0.217471,0.326474,0.300593,0.213428,0.0648597,-0.252545,0.290838,0.775587,0.180685
6,128.072,134.702,120.271,135.172,26.4573,22.289,24.3893,25.0651,6.45509,7.96543,8.46954,7.02095,2.8518,5.10068,1.94369,2.97113,0.0197897,0.326474,0.300593,0.261116,0.289044,-0.252545,0.594166,0.775587,0.570949
7,128.072,134.702,120.271,135.172,26.4573,22.289,20.781,20.7852,10.2723,7.96543,8.48143,7.02095,2.50886,5.91606,1.94369,2.97113,-0.217471,0.326474,0.300593,0.123131,0.0648597,-0.252545,0.763392,0.374908,0.180685
8,128.072,134.702,120.271,134.407,23.5912,23.8186,24.3893,25.0651,6.45509,6.13906,8.46954,7.02095,2.50886,3.92458,2.70016,2.97113,0.271933,0.419664,0.426451,-0.0696228,0.0648597,0.681681,-0.147655,0.374908,-0.470275
9,128.072,134.702,120.271,127.723,26.4573,22.1262,20.781,20.7852,6.45509,10.5012,6.43744,5.89857,2.50886,5.10068,1.57837,2.25513,0.0197897,0.326474,0.300593,0.213428,0.0648597,-0.252545,0.607508,0.374908,0.180685
10,128.072,124.098,120.271,127.723,26.4573,22.289,20.781,20.7852,6.45509,6.11791,8.48143,7.02095,2.8518,5.91606,1.94369,2.97113,-0.217471,0.326474,0.300593,0.213428,0.0590114,-0.0550642,0.763392,0.374908,0.180685
11,122.35,123.135,120.271,135.172,26.4573,23.8186,23.5438,20.7852,6.50734,10.5012,7.74021,7.02095,2.8518,5.10068,1.83574,3.18095,0.0197897,0.326474,0.300593,0.261116,0.289044,-0.252545,0.594166,0.374908,0.669834
12,128.072,134.702,120.271,134.407,26.4573,23.8186,24.3893,24.4999,6.45509,6.13906,8.48143,5.96447,2.50886,3.92458,1.83574,3.56082,0.271933,0.326474,0.156403,-0.0696228,0.0648597,-0.596383,0.290838,0.374908,0.695647
13,121.115,134.702,120.271,127.723,26.4573,22.289,24.3893,24.4999,6.45509,10.1788,8.48143,7.70398,2.8518,5.17232,1.94369,2.34766,0.0197897,0.326474,0.156403,0.213428,0.0648597,0.948648,0.594166,0.374908,0.695647
14,128.072,125.082,119.351,134.407,26.4573,22.1262,24.3893,25.3604,6.45509,6.13637,8.48143,7.02095,2.50886,5.17232,2.70016,2.97113,0.0197897,0.419664,0.300593,-0.117659,-0.357213,-0.252545,-0.147655,0.775587,0.570949
15,128.026,134.702,120.271,127.723,25.9146,22.1262,24.3893,24.4999,9.64667,10.5012,8.48143,7.02095,2.8518,5.17232,1.83574,3.18095,0.0197897,0.326474,0.300593,0.213428,0.0648597,0.240377,0.290838,0.374908,-0.784284
16,128.072,125.082,119.351,127.723,26.4573,22.1262,21.2284,25.3604,6.45509,10.1788,8.48143,7.02095,2.8518,5.17232,2.70016,2.34766,0.557814,0.326474,0.101813,-0.117659,-0.357213,0.948648,0.594166,0.374908,0.570949
17,128.072,134.702,120.271,127.723,26.4573,22.1262,21.2284,25.3604,6.45509,10.1788,8.48143,7.70398,2.8518,5.17232,1.83574,2.34766,0.0197897,0.326474,0.101813,0.213428,0.0648597,0.948648,0.594166,0.374908,0.852093
18,128.072,131.665,119.351,135.172,26.4573,22.1262,21.2284,24.4999,6.45509,10.1788,8.46954,5.96447,2.8518,5.17232,2.83178,3.56082,0.0197897,0.326474,0.300593,0.213428,0.0648597,-0.252545,-0.147655,0.775587,0.570949
19,128.072,131.665,120.271,134.407,26.4573,23.8186,22.1278,25.0651,11.8635,10.5012,8.48143,7.02095,2.50886,5.10068,2.70016,2.51325,0.0197897,0.419664,0.426451,-0.0696228,0.162015,-0.596383,0.290838,0.374908,0.566436
