Date,Open,High,Low,Close,VIX Open,VIX High,VIX Low,VIX Close,Target
2020-11-30,116.970001,120.970001,116.809998,119.050003,22.64,22.89,20.48,20.57,122.720001
2020-12-01,121.010002,123.470001,120.010002,122.720001,20.21,20.92,20.0,20.77,123.08000200000001
2020-12-02,122.019997,123.370003,120.889999,123.08000200000001,21.0,21.25,20.04,21.17,122.940002
2020-12-03,123.519997,123.779999,122.209999,122.940002,21.24,21.88,20.72,21.28,122.25
2020-12-04,122.599998,122.860001,121.519997,122.25,21.05,21.15,19.97,20.79,123.75
2020-12-07,122.309998,124.57,122.25,123.75,22.04,22.62,21.17,21.3,124.379997
2020-12-08,124.370003,124.980003,123.089996,124.379997,21.65,22.25,20.52,20.68,121.779999
2020-12-09,124.529999,125.949997,121.0,121.779999,20.66,22.93,20.1,22.27,123.239998
2020-12-10,120.5,123.870003,120.150002,123.239998,22.12,23.46,21.53,22.52,122.410004
2020-12-11,122.43,122.760002,120.550003,122.410004,22.49,25.14,22.48,23.31,121.779999
2020-12-14,122.599998,123.349998,121.540001,121.779999,22.67,24.82,21.95,24.72,127.879997
2020-12-15,124.339996,127.900002,124.129997,127.879997,24.0,24.07,22.73,22.89,127.809998
2020-12-16,127.410004,128.369995,126.559998,127.809998,22.51,23.67,22.29,22.5,128.699997
2020-12-17,128.899994,129.580002,128.03999299999998,128.699997,21.98,22.27,21.52,21.93,126.660004
2020-12-18,128.96000700000002,129.100006,126.120003,126.660004,22.15,23.77,21.57,21.57,128.229996
2020-12-21,125.019997,128.309998,123.449997,128.229996,24.25,31.46,24.23,25.16,131.880005
2020-12-22,131.610001,134.41000400000001,129.649994,131.880005,25.24,25.56,23.53,24.23,130.96000700000002
2020-12-23,132.16000400000001,132.429993,130.779999,130.96000700000002,23.49,23.68,22.13,23.31,131.970001
2020-12-24,131.320007,133.46000700000002,131.100006,131.970001,22.47,22.83,21.39,21.53,136.690002
2020-12-28,133.990005,137.33999599999999,133.509995,136.690002,22.11,22.12,21.15,21.7,134.869995
2020-12-29,138.050003,138.78999299999998,134.33999599999999,134.869995,21.61,23.72,20.99,23.08,133.720001
2020-12-30,135.580002,135.990005,133.399994,133.720001,22.58,23.15,22.41,22.77,132.690002
2020-12-31,134.080002,134.740005,131.720001,132.690002,22.99,23.25,21.24,22.75,129.41000400000001
2021-01-04,133.520004,133.610001,126.760002,129.41000400000001,23.04,29.19,22.56,26.97,131.009995
2021-01-05,128.889999,131.740005,128.429993,131.009995,26.94,28.6,24.8,25.34,126.599998
2021-01-06,127.720001,131.050003,126.379997,126.599998,25.48,26.77,22.14,25.07,130.919998
2021-01-07,128.360001,131.630005,127.860001,130.919998,23.67,23.91,22.25,22.37,132.050003
2021-01-08,132.429993,132.630005,130.229996,132.050003,22.43,23.34,21.42,21.56,128.979996
2021-01-11,129.190002,130.169998,128.5,128.979996,23.31,24.81,23.23,24.08,128.800003
2021-01-12,128.5,129.690002,126.860001,128.800003,23.49,25.15,22.83,23.33,130.889999
