numeroRegla,media0,media1,media2,media3,media4,media5,media6,media7,desviacion_estandar0,desviacion_estandar1,desviacion_estandar2,desviacion_estandar3,desviacion_estandar4,desviacion_estandar5,desviacion_estandar6,desviacion_estandar7,pesos0,pesos1,pesos2,pesos3,pesos4,pesos5,pesos6,pesos7,pesos8
0,124.139,124.597,125.246,125.566,25.9436,21.5671,22.6964,21.4447,3.48644,4.19742,2.33665,2.44904,2.56645,4.68296,2.61498,2.88955,-0.908993,0.4711,0.397477,0.220217,0.0412143,0.488832,0.122609,-0.785787,-0.383694
1,124.139,125.042,124.793,126.381,25.9436,28.282,21.4663,26.434,3.58569,4.19742,3.84171,2.44904,3.42756,4.81168,1.47453,2.83297,-0.908993,0.4711,0.397477,0.220217,0.0412143,-0.212283,0.122609,0.870039,0.240375
2,127.514,129.933,124.793,127.002,22.5678,28.282,21.4663,21.5031,2.87618,4.19742,3.84171,2.689,3.2193,4.81168,2.61498,2.88955,-0.908993,0.4711,0.557856,-0.0943326,0.15655,0.488832,0.314589,-0.785787,-0.983467
3,124.835,125.042,126.096,123.184,22.5678,21.5671,22.8947,25.8375,3.48644,4.19742,3.84171,2.44904,3.42756,4.81168,2.61498,3.5017,0.421568,0.4711,0.00895757,0.220217,0.0412143,-0.212283,0.122609,0.870039,0.240375
4,127.903,124.597,122.783,124.426,22.5678,28.282,23.8804,24.1036,3.48644,4.19742,3.84171,2.44904,2.56645,4.43195,2.02719,2.83297,0.421568,0.4711,0.397477,0.0526862,0.0249654,0.488832,0.122609,-0.785787,-0.309183
5,128.245,127.199,125.246,125.566,25.9436,21.5671,23.1449,21.4447,3.58569,4.19742,3.84171,2.44904,2.56645,4.68296,2.40022,2.88955,-0.979122,0.4711,0.255532,0.220217,0.0249654,0.488832,0.122609,-0.785787,0.240375
6,124.835,125.042,126.096,123.184,25.9436,21.5671,21.4663,26.434,3.58569,4.19742,2.33665,2.44904,2.56645,4.26291,1.47453,2.95396,-0.908993,0.4711,0.397477,0.220217,0.0412143,0.825522,0.122609,-0.0534163,0.240375
7,123.778,128.605,125.246,126.381,25.9436,21.5671,20.3106,22.5169,3.48644,4.19742,2.33665,2.44904,2.56645,4.68296,2.61498,2.88955,-0.908993,0.4711,0.397477,0.220217,0.0412143,0.205797,0.122609,-0.190063,-0.383694
8,127.514,125.042,124.793,124.426,25.9436,21.5671,22.8947,26.3475,3.58569,4.19742,2.33665,2.689,3.2193,4.68296,2.02719,2.95396,-0.908993,-0.00323757,0.397477,0.220217,0.15655,0.825522,0.367572,0.267968,-0.983467
9,124.139,125.042,124.793,126.381,25.9436,28.282,21.4663,26.434,3.58569,4.19742,2.17774,2.689,2.56645,3.51635,1.47453,2.83297,-0.908993,0.116287,0.397477,0.220217,-0.519607,0.825522,0.367572,-0.190063,0.240375
10,128.245,124.597,126.573,125.296,25.9436,21.5671,23.8804,24.1036,3.48644,4.19742,3.84171,2.689,2.56645,4.68296,2.1322,3.07164,-0.908993,0.116287,0.192244,0.220217,0.15655,0.488832,0.122609,-0.36771,0.240375
11,128.245,127.199,125.246,123.184,25.9436,21.5671,24.6739,21.4447,2.36124,4.19742,3.84171,2.44904,2.56645,4.68296,2.40022,2.88955,-0.979122,0.4711,0.441464,0.220217,0.0249654,0.825522,0.122609,-0.131921,0.240375
12,124.139,125.042,124.793,125.566,22.5678,28.0278,20.3106,26.3475,3.48644,4.19742,3.84171,2.44904,2.56645,3.51635,2.61498,2.83297,0.416146,0.4711,0.397477,-0.0943326,0.15655,0.488832,0.122609,-0.785787,0.240375
13,127.514,125.042,125.018,127.002,22.5678,28.282,21.4663,21.5031,3.48644,4.19742,3.84171,2.689,3.2193,4.81168,2.61498,2.83297,-0.908993,0.4711,0.285984,-0.0943326,-0.00999313,0.251845,0.314589,-0.131921,0.240375
14,128.245,125.042,126.176,123.184,23.3183,21.5671,24.7785,25.8375,3.58569,3.50094,3.13057,2.46306,2.56645,4.68296,2.40022,3.5017,0.421568,0.116287,0.192244,0.220217,0.0412143,0.76908,0.367572,0.870039,0.240375
15,128.245,124.597,126.096,123.184,25.9436,21.5671,23.8804,24.1036,3.48644,4.19742,3.84171,2.05018,2.56645,4.81168,1.51366,2.88955,-0.908993,0.116287,0.192244,0.220217,0.0412143,0.205797,0.122609,0.870039,0.984877
16,128.245,125.042,126.573,124.426,25.9436,28.0278,22.6964,25.8375,3.58569,4.19742,3.26948,3.08908,2.56645,4.68296,2.40022,2.34096,0.421568,0.4711,0.397477,0.220217,0.0249654,0.825522,0.122609,-0.131921,0.240375
17,128.245,124.597,125.246,125.566,22.5678,28.282,23.8804,24.1036,3.58569,4.19742,3.84171,2.44904,2.56645,4.68296,2.40022,2.83297,0.421568,0.4711,0.397477,0.0526862,0.15655,0.488832,0.122609,-0.785787,-0.309183
18,124.139,125.042,126.176,126.381,25.9436,21.5671,23.8804,22.5169,3.48644,4.19742,2.38436,2.46025,2.56645,4.43195,2.61498,2.83297,-0.908993,0.116287,0.255532,0.220217,0.15655,0.825522,0.122609,-0.785787,-0.383694
19,127.514,125.042,124.793,126.381,23.3183,21.5671,24.5249,22.5169,3.58569,4.19742,2.38436,2.689,3.2193,4.68296,2.61498,2.95396,0.50529,0.4711,0.397477,0.541771,0.0249654,0.825522,0.778834,-0.131921,-0.383694
