Date,Open,High,Low,Close,VIX Open,VIX High,VIX Low,VIX Close,Target
2019-08-02,149.029999,152.949997,145.58999599999999,147.25,17.69,20.11,17.04,17.61,140.759995
2019-08-05,144.979996,145.100006,139.149994,140.759995,19.96,24.81,19.91,24.59,140.729996
2019-08-06,142.029999,142.470001,139.309998,140.729996,22.29,22.87,19.77,20.17,139.110001
2019-08-07,138.740005,139.580002,136.41000400000001,139.110001,20.7,23.67,18.94,19.49,140.100006
2019-08-08,138.449997,140.419998,137.759995,140.100006,19.36,19.89,16.82,16.91,136.130005
2019-08-09,139.270004,139.309998,135.350006,136.130005,18.14,19.44,17.31,17.97,134.119995
2019-08-12,135.66000400000001,135.869995,133.179993,134.119995,17.87,21.26,17.77,21.09,135.78999299999998
2019-08-13,133.800003,136.570007,132.809998,135.78999299999998,21.28,21.64,17.52,17.52,131.25
2019-08-14,133.91000400000001,134.16000400000001,130.979996,131.25,17.81,22.71,17.75,22.1,131.919998
2019-08-15,131.220001,132.369995,130.25,131.919998,21.58,24.1,20.78,21.18,133.759995
2019-08-16,133.03999299999998,134.58999599999999,132.949997,133.759995,20.48,20.5,18.41,18.47,135.03999299999998
2019-08-19,134.880005,136.330002,134.880005,135.03999299999998,17.93,18.22,16.52,16.88,133.0
2019-08-20,135.240005,135.279999,132.809998,133.0,16.78,17.7,16.45,17.5,134.25
2019-08-21,134.96000700000002,135.940002,133.800003,134.25,17.01,17.04,15.51,15.8,134.320007
2019-08-22,134.690002,135.679993,133.809998,134.320007,16.12,17.68,15.63,16.68,129.570007
2019-08-23,133.630005,134.259995,128.830002,129.570007,16.15,21.07,16.04,19.87,129.990005
2019-08-26,131.050003,131.300003,129.16000400000001,129.990005,20.34,21.33,19.06,19.32,131.169998
2019-08-27,131.199997,131.699997,130.309998,131.169998,20.18,21.04,18.49,20.31,132.759995
2019-08-28,130.440002,132.889999,130.03999299999998,132.759995,20.55,21.64,19.1,19.35,134.880005
2019-08-29,134.179993,135.690002,134.03999299999998,134.880005,19.02,19.2,17.6,17.88,135.529999
2019-08-30,135.580002,136.070007,134.360001,135.529999,17.94,19.18,17.09,18.98,134.100006
2019-09-03,134.850006,134.899994,133.330002,134.100006,20.96,21.15,19.41,19.66,136.320007
2019-09-04,135.71000700000002,136.429993,135.149994,136.320007,18.23,18.83,17.26,17.33,140.970001
2019-09-05,138.300003,141.699997,138.050003,140.970001,16.92,17.05,15.45,16.27,140.570007
2019-09-06,141.520004,141.529999,140.46000700000002,140.570007,15.92,16.06,14.91,15.0,142.600006
2019-09-09,140.58999599999999,143.020004,140.46000700000002,142.600006,15.26,16.13,14.95,15.27,145.050003
2019-09-10,143.0,145.46000700000002,142.96000700000002,145.050003,15.53,16.52,15.11,15.2,143.600006
2019-09-11,144.850006,145.119995,142.71000700000002,143.600006,15.33,15.52,14.55,14.61,143.619995
2019-09-12,144.029999,144.03999299999998,141.880005,143.619995,14.69,14.94,13.85,14.22,143.669998
2019-09-13,144.320007,144.649994,143.259995,143.669998,14.16,14.31,13.51,13.74,142.479996
2019-09-16,142.559998,143.639999,142.270004,142.479996,14.89,15.29,14.5,14.67,142.199997
2019-09-17,142.479996,142.479996,140.66000400000001,142.199997,14.92,15.03,14.4,14.44,142.220001
2019-09-18,142.050003,142.300003,140.509995,142.220001,14.61,15.8,13.8,13.95,142.970001
2019-09-19,142.46000700000002,145.029999,142.449997,142.970001,14.66,14.66,13.31,14.05,141.880005
2019-09-20,143.25,143.830002,141.820007,141.880005,13.94,15.84,13.35,15.32,142.070007
2019-09-23,141.190002,142.220001,140.559998,142.070007,15.35,16.0,14.71,14.91,141.679993
2019-09-24,142.5,142.889999,141.070007,141.679993,14.77,17.62,14.33,17.05,143.16000400000001
2019-09-25,141.740005,143.630005,140.860001,143.16000400000001,17.05,18.45,15.69,15.96,143.550003
2019-09-26,143.169998,143.880005,141.41000400000001,143.550003,16.23,17.09,15.35,16.07,143.240005
2019-09-27,144.41000400000001,145.08999599999999,142.380005,143.240005,15.77,18.69,15.15,17.22,145.419998
2019-09-30,143.729996,146.570007,143.729996,145.419998,17.23,17.35,16.2,16.24,143.66000400000001
2019-10-01,145.58999599999999,147.350006,143.53999299999998,143.66000400000001,16.02,18.62,15.79,18.56,141.690002
2019-10-02,142.190002,142.270004,140.570007,141.690002,18.75,21.46,18.75,20.56,142.020004
2019-10-03,141.619995,142.070007,139.179993,142.020004,20.11,21.44,19.03,19.12,142.990005
2019-10-04,142.059998,143.059998,141.029999,142.990005,19.42,19.97,16.97,17.04,141.279999
2019-10-07,142.259995,142.699997,141.220001,141.279999,18.27,18.52,16.44,17.86,138.380005
2019-10-08,140.240005,140.470001,138.25,138.380005,17.61,20.38,17.42,20.28,139.669998
2019-10-09,139.770004,140.330002,138.78999299999998,139.669998,19.94,20.0,17.77,18.64,141.130005
2019-10-10,139.770004,141.779999,139.559998,141.130005,19.28,19.8,17.56,17.57,142.759995
2019-10-11,142.770004,144.5,142.610001,142.759995,17.35,17.44,15.11,15.58,142.03999299999998
2019-10-14,142.309998,142.429993,141.320007,142.03999299999998,15.66,16.5,14.51,14.57,143.0
2019-10-15,142.53999299999998,143.720001,141.809998,143.0,13.94,14.43,13.39,13.54,142.110001
2019-10-16,142.490005,142.949997,141.389999,142.110001,13.94,14.26,13.6,13.68,134.259995
2019-10-17,135.0,136.0,132.91000400000001,134.259995,13.79,14.18,13.31,13.79,134.08999599999999
2019-10-18,134.220001,134.490005,132.25,134.08999599999999,14.2,15.16,13.78,14.25,132.580002
2019-10-21,132.610001,133.100006,130.899994,132.580002,14.24,14.63,14.0,14.0,133.96000700000002
2019-10-22,132.550003,134.050003,131.610001,133.96000700000002,13.99,14.61,13.7,14.46,134.380005
2019-10-23,133.520004,134.570007,132.699997,134.380005,14.83,15.12,14.01,14.01,134.070007
2019-10-24,134.830002,135.070007,133.300003,134.070007,13.98,14.34,13.4,13.71,135.440002
2019-10-25,134.119995,135.929993,134.100006,135.440002,13.53,13.79,12.62,12.65,135.970001
2019-10-28,136.0,136.630005,135.449997,135.970001,13.01,13.14,12.66,13.11,133.820007
2019-10-29,135.419998,135.570007,133.440002,133.820007,13.16,13.52,13.07,13.2,135.25
2019-10-30,133.830002,135.279999,133.199997,135.25,13.23,13.77,12.27,12.33,133.729996
2019-10-31,135.110001,135.25,133.229996,133.729996,12.21,13.95,12.19,13.22,135.529999
2019-11-01,134.5,135.559998,134.08999599999999,135.529999,12.99,13.12,12.25,12.3,137.669998
2019-11-04,136.240005,137.740005,136.229996,137.669998,12.68,13.13,12.44,12.83,137.889999
