numeroRegla,media0,media1,media2,media3,media4,media5,media6,media7,desviacion_estandar0,desviacion_estandar1,desviacion_estandar2,desviacion_estandar3,desviacion_estandar4,desviacion_estandar5,desviacion_estandar6,desviacion_estandar7,pesos0,pesos1,pesos2,pesos3,pesos4,pesos5,pesos6,pesos7,pesos8
0,219.257,213.694,210.627,214.65,22.9979,24.038,21.6114,24.2227,6.17988,7.03927,6.67387,7.57665,2.56176,4.77477,1.49639,3.56999,-0.613087,0.382959,0.301556,0.0529617,0.212783,0.226323,-0.11858,0.31688,0.005857
1,210.606,213.694,218.263,219.151,24.3764,24.7861,21.6114,24.2227,7.19334,7.70335,6.67387,7.57665,2.25553,4.77477,2.77485,3.35018,-0.613087,0.221112,0.854267,0.0529617,0.212783,0.226323,0.750524,0.31688,0.005857
2,221.986,218.19,216.327,212.152,23.6853,24.7861,21.6114,24.2227,5.73981,5.53003,4.66472,7.88024,3.06167,5.79459,2.65735,3.28904,-0.965479,0.221112,0.301556,0.0529617,0.212783,0.226323,0.750524,0.31688,-0.459363
3,221.105,217.199,216.419,212.152,24.3764,22.8755,21.6114,24.2227,4.97303,7.70335,7.15242,7.88024,2.54983,4.77477,2.65735,3.56999,0.128085,0.382959,0.281346,-0.00639332,0.212783,0.226323,0.211379,0.31688,-0.459363
4,221.986,213.694,216.313,215.302,24.3764,22.8755,24.6217,23.4842,7.94345,4.65019,4.66472,7.57665,2.25553,4.77477,2.65735,3.56999,-0.613087,0.221112,0.301556,0.0529617,0.212783,0.226323,0.211379,-0.578531,0.005857
5,219.257,218.19,213.115,214.65,24.3764,22.8755,21.6114,23.1138,5.82821,7.03927,6.67387,7.88024,3.06167,4.15043,2.65735,3.35018,-0.515021,0.382959,0.301556,0.0529617,0.212783,0.226323,0.211379,0.384497,0.005857
6,219.525,218.018,216.419,220.607,22.9979,22.8755,21.6114,20.8554,5.73981,4.65019,5.2695,7.57665,2.56176,4.77477,2.77485,3.35018,0.128085,0.382959,0.281346,-0.00639332,0.212783,0.226323,0.211379,0.31688,0.005857
7,220.187,221.19,216.313,212.152,24.3764,22.8755,21.6114,24.2227,4.97303,4.44834,6.67387,7.88024,2.54983,5.79459,2.65735,3.56999,0.128085,0.382959,0.301556,0.0529617,0.212783,0.226323,0.211379,0.31688,-0.459363
8,215.277,218.19,216.419,220.607,22.9979,22.8755,21.6114,23.1138,5.73981,7.70335,5.2695,7.88024,2.56176,5.47139,2.77485,3.35018,0.128085,0.382959,0.342606,-0.00639332,0.212783,0.226323,0.211379,0.31688,0.005857
9,211.631,213.694,216.313,214.65,24.3764,22.8755,21.6114,24.2227,5.82821,7.70335,4.66472,6.14284,3.06167,5.72918,2.65735,3.56999,-0.515021,0.382959,0.301556,0.0529617,0.212783,0.511916,-0.414752,0.600672,0.005857
10,219.257,213.694,210.627,214.65,24.3764,22.8755,21.6114,24.2227,5.82821,7.03927,6.67387,7.57665,3.77979,4.77477,1.49639,3.35018,-0.613087,0.382959,0.301556,0.0529617,0.212783,0.226323,-0.11858,0.384497,0.005857
11,217.601,213.694,216.313,215.302,22.9979,24.038,21.6114,24.2227,6.17988,7.46532,5.2695,7.57665,2.56176,4.77477,2.42255,3.56999,-0.59695,0.382959,0.301556,0.0529617,0.212783,0.226323,0.211379,0.31688,0.0326187
12,219.257,218.19,210.627,214.65,24.3764,22.8755,21.6114,24.2227,5.82821,7.03927,6.67387,7.57665,2.56176,5.72918,1.49639,3.35018,-0.613087,0.382959,0.301556,0.0529617,0.212783,0.226323,-0.11858,0.384497,0.005857
13,221.986,218.018,216.313,215.302,24.3764,22.8755,24.6217,23.4842,7.94345,4.65019,4.66472,7.63158,2.25553,4.77477,2.65735,3.56999,0.419057,0.221112,0.281346,0.0529617,0.212783,0.226323,0.211379,-0.578531,0.005857
14,219.257,218.018,216.313,215.302,23.6853,29.7505,21.6114,22.7953,7.89711,4.65019,4.66472,5.30262,2.73584,4.77477,2.65735,3.56999,0.419057,0.761338,0.281346,0.0529617,0.212783,-0.950799,-0.414752,-0.578531,0.005857
15,210.606,218.19,210.627,214.65,25.1403,30.1648,21.6114,23.1138,7.19334,7.77843,6.67387,7.57665,2.56176,4.42885,1.49639,3.35018,-0.613087,0.382959,0.301556,0.0529617,0.212783,-0.0290922,-0.414752,0.758339,0.005857
16,219.257,213.694,210.627,217.544,23.6853,22.8755,21.6114,24.2227,5.82821,7.70335,7.92104,7.57665,2.56176,4.77477,1.49639,3.56999,-0.59695,0.382959,0.301556,0.0529617,0.212783,0.696524,0.211379,0.31688,0.005857
17,221.986,213.694,216.313,215.302,24.3764,22.8755,21.6114,23.4842,7.94345,7.70335,6.67387,7.63158,2.25553,4.77477,2.65735,3.56999,-0.613087,0.382959,0.281346,0.0529617,0.212783,-0.0290922,0.211379,0.31688,0.005857
18,215.277,218.018,216.313,212.489,24.3764,22.8755,21.6114,23.1138,7.94345,7.70335,4.66472,7.88024,2.25553,4.77477,2.77485,3.35018,0.419057,0.382959,0.281346,0.0529617,0.212783,0.226323,0.211379,-0.578531,0.005857
19,224.182,218.018,216.313,212.152,24.3764,22.8755,21.6114,20.8554,5.82821,4.65019,4.66472,7.57665,2.56176,4.77477,2.77485,3.45568,-0.320739,0.382959,0.281346,0.0529617,0.212783,0.226323,0.211379,0.839717,0.005857
