Date,Open,High,Low,Close,VIX Open,VIX High,VIX Low,VIX Close,Target
2019-08-02,138.08999599999999,138.320007,135.259995,136.899994,17.69,20.11,17.04,17.61,132.21000700000002
2019-08-05,133.300003,133.929993,130.779999,132.21000700000002,19.96,24.81,19.91,24.59,134.690002
2019-08-06,133.800003,135.679993,133.21000700000002,134.690002,22.29,22.87,19.77,20.17,135.279999
2019-08-07,133.78999299999998,135.649994,131.830002,135.279999,20.7,23.67,18.94,19.49,138.889999
2019-08-08,136.600006,138.990005,135.929993,138.889999,19.36,19.89,16.82,16.91,137.71000700000002
2019-08-09,138.610001,139.380005,136.46000700000002,137.71000700000002,18.14,19.44,17.31,17.97,135.78999299999998
2019-08-12,137.070007,137.860001,135.240005,135.78999299999998,17.87,21.26,17.77,21.09,138.600006
2019-08-13,136.050003,138.800003,135.0,138.600006,21.28,21.64,17.52,17.52,133.979996
2019-08-14,136.360001,136.919998,133.669998,133.979996,17.81,22.71,17.75,22.1,133.679993
2019-08-15,134.389999,134.580002,132.25,133.679993,21.58,24.1,20.78,21.18,136.130005
2019-08-16,134.880005,136.46000700000002,134.720001,136.130005,20.48,20.5,18.41,18.47,138.41000400000001
2019-08-19,137.850006,138.550003,136.889999,138.41000400000001,17.93,18.22,16.52,16.88,137.259995
2019-08-20,138.21000700000002,138.71000700000002,137.240005,137.259995,16.78,17.7,16.45,17.5,138.78999299999998
2019-08-21,138.550003,139.490005,138.0,138.78999299999998,17.01,17.04,15.51,15.8,137.779999
2019-08-22,138.66000400000001,139.199997,136.28999299999998,137.779999,16.12,17.68,15.63,16.68,133.389999
2019-08-23,137.190002,138.350006,132.800003,133.389999,16.15,21.07,16.04,19.87,135.449997
2019-08-26,134.990005,135.559998,133.899994,135.449997,20.34,21.33,19.06,19.32,135.740005
2019-08-27,136.389999,136.720001,134.66000400000001,135.740005,20.18,21.04,18.49,20.31,135.559998
2019-08-28,134.880005,135.759995,133.550003,135.559998,20.55,21.64,19.1,19.35,138.119995
2019-08-29,137.25,138.440002,136.91000400000001,138.119995,19.02,19.2,17.6,17.88,137.860001
2019-08-30,139.149994,139.179993,136.270004,137.860001,17.94,19.18,17.09,18.98,136.03999299999998
2019-09-03,136.610001,137.199997,135.699997,136.03999299999998,20.96,21.15,19.41,19.66,137.630005
2019-09-04,137.300003,137.690002,136.479996,137.630005,18.23,18.83,17.26,17.33,140.050003
2019-09-05,139.110001,140.380005,138.759995,140.050003,16.92,17.05,15.45,16.27,139.100006
2019-09-06,140.029999,140.179993,138.199997,139.100006,15.92,16.06,14.91,15.0,137.520004
2019-09-09,139.58999599999999,139.75,136.46000700000002,137.520004,15.26,16.13,14.95,15.27,136.080002
2019-09-10,136.800003,136.889999,134.509995,136.080002,15.53,16.52,15.11,15.2,136.119995
2019-09-11,135.91000400000001,136.270004,135.08999599999999,136.119995,15.33,15.52,14.55,14.61,137.520004
2019-09-12,137.850006,138.419998,136.869995,137.520004,14.69,14.94,13.85,14.22,137.320007
2019-09-13,137.779999,138.059998,136.570007,137.320007,14.16,14.31,13.51,13.74,136.330002
